Nombre,Numero,Posicion,Fecha_Nacimiento,Lugar_Nacimiento,Altura,Peso,Temporada,Equipo,Competicion,Iniciados,Bancas,Goles,Asistencias,Disparos,Al_Arco,Cometidas,Recibidas,Amarillas,Rojas
Matías Jesús Almeyda,Número: 5 ,Posición: Volante ,Fecha de nacimiento: 21/dic/1973 ,"Lugar de nacimiento: Azul, Argentina ",Altura: 1.74m ,Peso: 72 kg ,Glosario ,"
						PI: Partidos Iniciados, SB: Substituto, G: Goles, GC: Asistencias, D: Disparos, DA: Disparos al arco, TA: Tarjetas Amarillas, TR: Tarjetas Rojas, FC: Faltas Cometidas, FR: Faltas Recibidas, AT: Atajadas, De: Fuera de Juego, G: Ganados, E: Empates, D: Derrotas
					",WC,1,0,0,0,2,0,3,0,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2013/14 ",Inter Milan,Serie A,4,8,0,0,1,0,3,5,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2013/14 ",Inter Milan,Champions Cup,0,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2013/14 ",Inter Milan,Ita Cup,1,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2012/13 ",Inter Milan,Europa,9,2,0,0,2,1,1,4,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2012/13 ",Inter Milan,Ita Cup,3,1,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2012/13 ",Inter Milan,Serie A,33,0,0,1,8,1,16,41,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2011/12 ",Argentina,Copa Am,4,0,0,0,0,0,3,6,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2011/12 ",Argentina,Int,2,0,0,0,0,0,1,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2011/12 ",Inter Milan,UCL,8,0,0,1,2,0,2,6,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2011/12 ",Inter Milan,Serie A,34,0,0,3,10,4,18,29,3,1
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2011/12 ",Inter Milan,Sup Cup,1,0,0,0,0,0,2,1,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2011/12 ",Inter Milan,Ita Cup,2,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2010/11 ",Inter Milan,Ita Cup,5,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2010/11 ",Inter Milan,CWC,2,0,1,0,1,1,0,3,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2010/11 ",Inter Milan,Super C,1,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2010/11 ",Inter Milan,Serie A,35,0,0,2,7,1,28,39,3,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2010/11 ",Inter Milan,UCL,8,0,1,0,3,2,4,7,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2010/11 ",Argentina,Int,1,0,0,0,0,0,1,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2009/10 ",Argentina,WCQ,7,1,0,0,0,0,10,12,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2009/10 ",Argentina,Int,1,0,0,0,1,1,1,1,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2009/10 ",Inter Milan,UCL,13,0,0,0,3,1,12,23,2,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2009/10 ",Inter Milan,Serie A,37,0,0,1,8,2,32,49,4,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2009/10 ",Inter Milan,WFC,2,1,0,0,0,0,2,2,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2009/10 ",Inter Milan,Ita Cup,4,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2008/09 ",Inter Milan,Ita Cup,3,0,0,0,0,0,0,0,2,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2008/09 ",Inter Milan,Serie A,37,1,0,0,18,7,35,40,3,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2008/09 ",Inter Milan,UCL,8,0,0,0,3,0,9,14,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2008/09 ",Argentina,Int,1,0,0,0,0,0,0,1,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2008/09 ",Argentina,WCQ,8,0,0,0,0,0,12,11,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2007/08 ",Argentina,WCQ,4,0,0,0,0,0,2,3,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2007/08 ",Inter Milan,UCL,1,0,0,0,0,0,2,3,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2007/08 ",Inter Milan,UCL,5,1,0,0,1,0,2,6,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2007/08 ",Inter Milan,UCL,1,0,0,0,0,0,0,2,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2007/08 ",Inter Milan,Serie A,35,3,1,1,10,3,17,59,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2007/08 ",Inter Milan,UCL,1,0,0,0,0,0,0,2,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2007/08 ",Argentina,Int,1,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2007/08 ",Inter Milan,Ita Cup,1,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2006/07 ",Inter Milan,Ita Cup,4,0,0,3,0,1,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2006/07 ",Inter Milan,UCL,7,1,0,0,5,1,3,0,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2006/07 ",Inter Milan,Serie A,34,3,1,0,14,5,21,0,2,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2005/06 ",Inter Milan,Serie A,25,1,0,0,0,0,0,0,4,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2005/06 ",Inter Milan,UCL,7,1,0,0,1,0,5,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2005/06 ",Argentina,Int,2,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2005/06 ",Argentina,Conf,4,1,0,0,0,0,1,6,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2004/05 ",Argentina,Copa Am,6,0,0,4,1,1,5,6,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2004/05 ",Inter Milan,UCL,9,2,0,0,3,2,4,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2004/05 ",Inter Milan,Serie A,31,3,0,0,0,0,0,0,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2003/04 ",Inter Milan,Serie A,34,0,0,0,0,0,0,0,1,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2003/04 ",Inter Milan,UCL,6,0,0,0,0,0,0,0,0,0
Javier Zanetti,Nombre Completo: Javier Aldemar Zanetti ,Número: 4 ,Edad: 41 ,Fecha de nacimiento: 10/ago/1973 ,"Lugar de nacimiento: Buenos Aires, Argentina ",Altura: 1.78m ,"
Estadísticas 2003/04 ",Inter Milan,UEFA,6,0,0,0,0,0,0,0,2,0
